pid,1A_1,1B_1,1C_1,2A_1,2B_1,2C_1,3A_1,3B_1,3C_1
400,5,4,4,5,3,2,2,6,7
401,1,1,1,1,1,1,1,1,3
403,7,6,5,6,5,6,1,1,1
404,5,,6,4,5,3,7,2,6
405,3,1,5,3,1,5,1,,6
406,5,6,6,6,7,4,7,3,6
407,3,3,6,5,5,5,3,3,6
408,3,4,3,4,6,4,5,6,3
2101,5,5,5,5,5,5,5,4,3
2102,3,5,3,4,3,4,4,3,5
2103,6,6,3,4,4,5,3,3,6
2104,6,6,6,6,7,5,7,6,6
2105,6,6,3,6,5,3,5,4,4
2106,5,6,4,2,3,6,4,4,4
2107,6,5,3,3,6,6,2,3,6
2108,5,5,2,6,6,1,3,3,5
2109,5,6,3,3,6,4,3,2,6
2110,5,4,5,7,7,3,6,4,5
2111,5,4,4,6,5,3,6,4,4
2112,7,5,5,6,7,3,6,4,4
2113,7,7,2,3,7,1,5,7,1
2114,2,2,6,4,4,5,5,4,5
2115,6,5,2,6,4,3,5,3,3
2116,7,6,2,7,2,6,6,4,3
